CUSEC,value
1503001001,32.6
1503001002,20.2
1503001003,21
1503001004,27.1
1503001005,22.7
1503001006,24.1
1503001007,20.3
1503001008,24.7
1503001009,26
1503001012,31.5
1503002001,17.3
1503002002,11.8
1503002003,35.4
1503002004,12.5
1503002005,8.7
1503002006,9
1503002007,16.1
1503002008,14.7
1503002009,9.7
1503002010,12.4
1503002011,18.6
1503002012,13.2
1503002013,10.1
1503002014,16.2
1503002015,4.5
1503002016,2.9
1503002017,4.9
1503002018,7.6
1503002019,3.4
1503002020,6.1
1503002021,23.2
1503002022,14.2
1503002023,7.6
1503003001,50.7
1503003002,44.1
1503003003,37.3
1503003004,19.9
1503003005,42.8
1503003006,37.4
1503003007,44.4
1503003009,34.4
1503003010,26.5
1503003011,26.9
1503003012,11.3
1503003013,14.5
1503003014,21.3
1503003015,37.1
1503003016,32.9
1503003017,21.6
1503003018,16
1503003020,24.2
1503003021,28.5
1503003022,13.1
1503003023,25.5
1503004001,15
1503004002,18.9
1503004003,7.6
1503004004,4
1503004005,4.5
1503004006,10
1503004007,13.2
1503004008,10
1503004009,7.8
1503004010,6.2
1503004011,4.4
1503004012,7.5
1503004013,5.9
1503004014,1.5
1503004015,2.4
1503004018,3.9
1503004019,4.1
1503004020,5.2
1503004021,1.2
1503004022,2.1
1503004023,5.3
1503004024,4.7
1503004025,4.4
1503004026,3.5
1503004028,3.1
1503004029,5.4
1503005001,42.1
1503005002,33.8
1503005003,32.4
1503005004,38.6
1503005005,23.2
1503005006,19
1503005007,19
1503005008,7.8
1503005009,15.6
1503005010,5.7
1503005011,3.5
1503005012,4.9
1503005013,36.9
1503005014,23.4
1503005015,6.7
1503005016,9.5
1503005017,17.2
1503005018,7.9
1503005019,13.4
1503005020,9.4
1503005021,13
1503005022,7.9
1503006001,22.1
1503006002,6.4
1503006003,6.6
1503006004,5.5
1503006005,5.9
1503006006,5.8
1503006007,6.3
1503006008,2.3
1503006009,3.9
1503006010,1.3
1503006011,0.8
1503006012,2.9
1503006013,2.2
1503006014,4
1503006015,3.6
1503006016,3.2
1503006017,6.3
1503006018,5.1
1503006019,6.4
1503006020,3.4
1503006021,3.2
1503006022,1
1503006023,4.5
1503007001,8.3
1503007002,9.5
1503007003,5.5
1503007004,9.2
1503007005,6.9
1503007006,11.8
1503007007,7.6
1503007008,8.3
1503007009,13.3
1503007010,16.5
1503007011,9.1
1503007012,17.1
1503007013,13.9
1503007014,10.4
1503007015,6.9
1503007016,2.3
1503007017,10.2
1503007018,8.1
1503007019,9.3
1503007020,18.4
1503007021,6.7
1503007022,10.1
1503007023,2.6
1503007025,5.7
1503007026,2.5
1503007027,8
1503007028,2
1503007029,19.9
1503007030,5.8
1503007031,4.6
1503007033,10.9
1503007034,7.6
1503007035,12
1503007036,9.8
1503007038,5.8
1503007039,6.1
1503007040,8
1503007041,12.7
1503007042,22.5
1503007043,23.8
1503007044,14.4
1503008001,3.2
1503008002,9.3
1503008003,24.3
1503008004,14.3
1503008005,8.4
1503008006,11
1503008007,8.9
1503009001,7.2
1503009002,13.4
1503009003,6.7
1503009004,3.5
1503009005,5.5
1503009006,6.7
1503009007,27.9
1503010001,7.5
1503010002,6.6
1503010003,5.6
1503010004,6.2
1503010005,16.7
1503010006,20.2
