CUSEC,value
1503001001,NA
1503001002,NA
1503001003,NA
1503001004,NA
1503001005,NA
1503001006,NA
1503001007,NA
1503001008,NA
1503001009,NA
1503001012,NA
1503002001,NA
1503002002,NA
1503002003,NA
1503002004,NA
1503002005,NA
1503002006,NA
1503002007,NA
1503002008,NA
1503002009,NA
1503002010,NA
1503002011,NA
1503002012,NA
1503002013,NA
1503002014,NA
1503002015,NA
1503002016,NA
1503002017,NA
1503002018,NA
1503002019,NA
1503002020,NA
1503002021,NA
1503002022,NA
1503002023,NA
1503003001,NA
1503003002,NA
1503003003,NA
1503003004,NA
1503003005,NA
1503003006,NA
1503003007,NA
1503003009,NA
1503003010,NA
1503003011,NA
1503003012,NA
1503003013,NA
1503003014,NA
1503003015,NA
1503003016,NA
1503003017,NA
1503003018,NA
1503003020,NA
1503003021,NA
1503003022,NA
1503003023,NA
1503004001,NA
1503004002,NA
1503004003,NA
1503004004,NA
1503004005,NA
1503004006,NA
1503004007,NA
1503004008,NA
1503004009,NA
1503004010,NA
1503004011,NA
1503004012,NA
1503004013,NA
1503004014,NA
1503004015,NA
1503004018,NA
1503004019,NA
1503004020,NA
1503004021,NA
1503004022,NA
1503004023,NA
1503004024,NA
1503004025,NA
1503004026,NA
1503004028,NA
1503004029,NA
1503005001,NA
1503005002,NA
1503005003,NA
1503005004,NA
1503005005,NA
1503005006,NA
1503005007,NA
1503005008,NA
1503005009,NA
1503005010,NA
1503005011,NA
1503005012,NA
1503005013,NA
1503005014,NA
1503005015,NA
1503005016,NA
1503005017,NA
1503005018,NA
1503005019,NA
1503005020,NA
1503005021,NA
1503005022,NA
1503006001,NA
1503006002,NA
1503006003,NA
1503006004,NA
1503006005,NA
1503006006,NA
1503006007,NA
1503006008,NA
1503006009,NA
1503006010,NA
1503006011,NA
1503006012,NA
1503006013,NA
1503006014,NA
1503006015,NA
1503006016,NA
1503006017,NA
1503006018,NA
1503006019,NA
1503006020,NA
1503006021,NA
1503006022,NA
1503006023,NA
1503007001,NA
1503007002,NA
1503007003,NA
1503007004,NA
1503007005,NA
1503007006,NA
1503007007,NA
1503007008,NA
1503007009,NA
1503007010,NA
1503007011,NA
1503007012,NA
1503007013,NA
1503007014,NA
1503007015,NA
1503007016,NA
1503007017,NA
1503007018,NA
1503007019,NA
1503007020,NA
1503007021,NA
1503007022,NA
1503007023,NA
1503007025,NA
1503007026,NA
1503007027,NA
1503007028,NA
1503007029,NA
1503007030,NA
1503007031,NA
1503007033,NA
1503007034,NA
1503007035,NA
1503007036,NA
1503007038,NA
1503007039,NA
1503007040,NA
1503007041,NA
1503007042,NA
1503007043,NA
1503007044,NA
1503008001,NA
1503008002,NA
1503008003,NA
1503008004,NA
1503008005,NA
1503008006,NA
1503008007,NA
1503009001,NA
1503009002,NA
1503009003,12.3
1503009004,17.4
1503009005,NA
1503009006,NA
1503009007,NA
1503010001,NA
1503010002,NA
1503010003,NA
1503010004,NA
1503010005,10.8
1503010006,NA
