CUSEC,value
1503001001,40.9
1503001002,33.5
1503001003,36.5
1503001004,35.6
1503001005,33.2
1503001006,31.5
1503001007,33
1503001008,30.9
1503001009,36.8
1503001012,43.4
1503002001,34.9
1503002002,30
1503002003,31.9
1503002004,33.7
1503002005,28.9
1503002006,29.8
1503002007,29.3
1503002008,32.2
1503002009,29.4
1503002010,31.6
1503002011,33
1503002012,30.1
1503002013,32.2
1503002014,34.1
1503002015,26.9
1503002016,26.8
1503002017,27.6
1503002018,31.2
1503002019,27.4
1503002020,26.6
1503002021,30.4
1503002022,26.3
1503002023,26.4
1503003001,44.2
1503003002,40.9
1503003003,29.9
1503003004,31.2
1503003005,30.7
1503003006,39.7
1503003007,40.7
1503003009,33.3
1503003010,32.4
1503003011,33.9
1503003012,31.1
1503003013,31
1503003014,29.9
1503003015,33.1
1503003016,32.4
1503003017,31.3
1503003018,28
1503003020,33.5
1503003021,36
1503003022,32.4
1503003023,29.4
1503004001,32
1503004002,31.1
1503004003,34.2
1503004004,33.5
1503004005,30.6
1503004006,35.8
1503004007,30.3
1503004008,29.7
1503004009,31.8
1503004010,32.2
1503004011,30.7
1503004012,31.8
1503004013,30
1503004014,25.9
1503004015,27.4
1503004018,32.1
1503004019,33.1
1503004020,33.8
1503004021,30.4
1503004022,29.1
1503004023,28.1
1503004024,27.7
1503004025,32.5
1503004026,29.9
1503004028,26.6
1503004029,27.6
1503005001,31.9
1503005002,37
1503005003,36.8
1503005004,31.2
1503005005,42
1503005006,32.4
1503005007,29.5
1503005008,32.1
1503005009,31
1503005010,31.7
1503005011,32.5
1503005012,26
1503005013,35.1
1503005014,31.8
1503005015,28.3
1503005016,31
1503005017,27
1503005018,25
1503005019,24.8
1503005020,26.1
1503005021,27.4
1503005022,24.3
1503006001,36.8
1503006002,32.1
1503006003,30.6
1503006004,30.6
1503006005,28.8
1503006006,32.8
1503006007,30.3
1503006008,28.1
1503006009,30
1503006010,29
1503006011,27.1
1503006012,29.3
1503006013,30.2
1503006014,31.9
1503006015,30
1503006016,30.4
1503006017,31.3
1503006018,30.1
1503006019,33.7
1503006020,30.7
1503006021,29.7
1503006022,27.3
1503006023,29.3
1503007001,32.3
1503007002,27.8
1503007003,28.1
1503007004,27.7
1503007005,28.3
1503007006,29.8
1503007007,27
1503007008,28.3
1503007009,31
1503007010,34.5
1503007011,31.2
1503007012,32.8
1503007013,32.1
1503007014,29.9
1503007015,25.8
1503007016,24.1
1503007017,28.4
1503007018,26.1
1503007019,27.1
1503007020,26.4
1503007021,29.2
1503007022,26.8
1503007023,27.1
1503007025,27.2
1503007026,26.4
1503007027,30
1503007028,24.3
1503007029,28.8
1503007030,27.6
1503007031,28.8
1503007033,22.3
1503007034,23.3
1503007035,30.9
1503007036,28.1
1503007038,26.3
1503007039,27
1503007040,28.1
1503007041,27.7
1503007042,28.6
1503007043,26.5
1503007044,26.6
1503008001,26.7
1503008002,30.8
1503008003,32.2
1503008004,27.5
1503008005,34.9
1503008006,32
1503008007,28.3
1503009001,30.5
1503009002,31.4
1503009003,23.4
1503009004,25.3
1503009005,23.6
1503009006,24.1
1503009007,28.5
1503010001,30
1503010002,27
1503010003,25.1
1503010004,26.1
1503010005,27.2
1503010006,25.7
