CUSEC,value
1503001001,40614
1503001002,46469
1503001003,45323
1503001004,46914
1503001005,50641
1503001006,48422
1503001007,41913
1503001008,44404
1503001009,47554
1503001012,65731
1503002001,41444
1503002002,34057
1503002003,59836
1503002004,34259
1503002005,34683
1503002006,33131
1503002007,40147
1503002008,39904
1503002009,34820
1503002010,34485
1503002011,40319
1503002012,37339
1503002013,35361
1503002014,37954
1503002015,29786
1503002016,28252
1503002017,33057
1503002018,32297
1503002019,29346
1503002020,33327
1503002021,46621
1503002022,44172
1503002023,33219
1503003001,104774
1503003002,78924
1503003003,60779
1503003004,42120
1503003005,67105
1503003006,68835
1503003007,87473
1503003009,63387
1503003010,46376
1503003011,45337
1503003012,38140
1503003013,37869
1503003014,43873
1503003015,62422
1503003016,56953
1503003017,44111
1503003018,40698
1503003020,46556
1503003021,50962
1503003022,40950
1503003023,50300
1503004001,37452
1503004002,47242
1503004003,31740
1503004004,27598
1503004005,31760
1503004006,32087
1503004007,38319
1503004008,35956
1503004009,31705
1503004010,30869
1503004011,30130
1503004012,32560
1503004013,32697
1503004014,28249
1503004015,27974
1503004018,28835
1503004019,26325
1503004020,28576
1503004021,25781
1503004022,27180
1503004023,33040
1503004024,32685
1503004025,28971
1503004026,29150
1503004028,32106
1503004029,32271
1503005001,63327
1503005002,63333
1503005003,48168
1503005004,64563
1503005005,56320
1503005006,44881
1503005007,45365
1503005008,33139
1503005009,40095
1503005010,28492
1503005011,26484
1503005012,34751
1503005013,62026
1503005014,49588
1503005015,34945
1503005016,35027
1503005017,43891
1503005018,40659
1503005019,44113
1503005020,42865
1503005021,46112
1503005022,42009
1503006001,50322
1503006002,32714
1503006003,32634
1503006004,30529
1503006005,34793
1503006006,32739
1503006007,32164
1503006008,30797
1503006009,29732
1503006010,22705
1503006011,28105
1503006012,30083
1503006013,26660
1503006014,28629
1503006015,28473
1503006016,28962
1503006017,32829
1503006018,32103
1503006019,33917
1503006020,28839
1503006021,29827
1503006022,27283
1503006023,31125
1503007001,34977
1503007002,35865
1503007003,30836
1503007004,36552
1503007005,35222
1503007006,36453
1503007007,34448
1503007008,36245
1503007009,37699
1503007010,41506
1503007011,34761
1503007012,41316
1503007013,38422
1503007014,35013
1503007015,36680
1503007016,29921
1503007017,37404
1503007018,34574
1503007019,40022
1503007020,46891
1503007021,32249
1503007022,38326
1503007023,28440
1503007025,32189
1503007026,29063
1503007027,32110
1503007028,28699
1503007029,43816
1503007030,34165
1503007031,32581
1503007033,40263
1503007034,38176
1503007035,37434
1503007036,36324
1503007038,34220
1503007039,36262
1503007040,33677
1503007041,39894
1503007042,48796
1503007043,49827
1503007044,44416
1503008001,29359
1503008002,34799
1503008003,52932
1503008004,42707
1503008005,33734
1503008006,37658
1503008007,35359
1503009001,35612
1503009002,40126
1503009003,39055
1503009004,32714
1503009005,38391
1503009006,39998
1503009007,66085
1503010001,32533
1503010002,37377
1503010003,36575
1503010004,35262
1503010005,44455
1503010006,46445
