CUSEC,value
1503001001,19700
1503001002,22515
1503001003,21293
1503001004,23322
1503001005,22899
1503001006,21510
1503001007,20732
1503001008,21828
1503001009,21707
1503001012,30733
1503002001,19211
1503002002,16438
1503002003,25858
1503002004,16634
1503002005,16449
1503002006,15547
1503002007,18276
1503002008,17207
1503002009,16339
1503002010,15707
1503002011,19635
1503002012,17569
1503002013,16593
1503002014,17233
1503002015,13599
1503002016,12894
1503002017,14455
1503002018,14881
1503002019,13349
1503002020,15179
1503002021,20380
1503002022,18619
1503002023,15305
1503003001,36918
1503003002,33339
1503003003,26744
1503003004,19706
1503003005,27224
1503003006,29575
1503003007,36383
1503003009,27220
1503003010,20974
1503003011,20519
1503003012,16044
1503003013,17343
1503003014,19533
1503003015,26619
1503003016,24129
1503003017,19861
1503003018,18717
1503003020,20319
1503003021,21841
1503003022,18402
1503003023,21084
1503004001,16922
1503004002,20408
1503004003,13142
1503004004,11385
1503004005,13262
1503004006,13752
1503004007,17501
1503004008,16173
1503004009,14148
1503004010,13544
1503004011,12920
1503004012,14209
1503004013,14793
1503004014,13149
1503004015,12344
1503004018,12407
1503004019,11307
1503004020,12596
1503004021,10868
1503004022,11439
1503004023,14478
1503004024,13880
1503004025,12323
1503004026,11660
1503004028,13534
1503004029,14321
1503005001,27081
1503005002,27479
1503005003,18794
1503005004,25261
1503005005,23019
1503005006,19953
1503005007,19520
1503005008,14627
1503005009,18179
1503005010,13230
1503005011,11305
1503005012,14261
1503005013,25387
1503005014,20654
1503005015,14408
1503005016,15628
1503005017,18519
1503005018,16400
1503005019,17848
1503005020,16951
1503005021,17180
1503005022,16086
1503006001,21517
1503006002,13270
1503006003,13592
1503006004,12812
1503006005,13719
1503006006,13020
1503006007,13728
1503006008,13237
1503006009,13003
1503006010,10550
1503006011,11360
1503006012,12176
1503006013,11779
1503006014,12011
1503006015,12107
1503006016,11933
1503006017,13531
1503006018,14121
1503006019,13438
1503006020,12027
1503006021,12333
1503006022,11159
1503006023,13522
1503007001,14380
1503007002,16308
1503007003,14073
1503007004,15643
1503007005,14981
1503007006,15657
1503007007,14885
1503007008,15330
1503007009,17328
1503007010,17817
1503007011,15156
1503007012,18348
1503007013,16854
1503007014,15889
1503007015,15756
1503007016,13279
1503007017,16428
1503007018,16113
1503007019,17765
1503007020,20285
1503007021,14198
1503007022,15759
1503007023,12495
1503007025,14922
1503007026,12638
1503007027,14618
1503007028,12504
1503007029,18728
1503007030,14273
1503007031,13269
1503007033,17925
1503007034,16327
1503007035,15824
1503007036,16299
1503007038,13877
1503007039,15378
1503007040,14816
1503007041,16294
1503007042,20467
1503007043,20269
1503007044,17951
1503008001,13069
1503008002,14276
1503008003,22159
1503008004,18290
1503008005,15451
1503008006,15489
1503008007,15701
1503009001,17214
1503009002,16364
1503009003,14540
1503009004,13205
1503009005,13662
1503009006,14868
1503009007,20851
1503010001,13600
1503010002,15254
1503010003,15588
1503010004,15023
1503010005,18592
1503010006,19834
