CUSEC,value
1503001001,1.7
1503001002,2.7
1503001003,3.1
1503001004,2.6
1503001005,2.5
1503001006,3.2
1503001007,2.3
1503001008,3.6
1503001009,1.9
1503001012,1.9
1503002001,2.7
1503002002,2.5
1503002003,2.4
1503002004,3.7
1503002005,4.3
1503002006,3.3
1503002007,4.1
1503002008,4.3
1503002009,3.5
1503002010,3.3
1503002011,2.6
1503002012,3.4
1503002013,3
1503002014,3.4
1503002015,4
1503002016,3.7
1503002017,5.2
1503002018,3.6
1503002019,3.9
1503002020,2.5
1503002021,2.8
1503002022,2.7
1503002023,3.5
1503003001,1.2
1503003002,1.8
1503003003,2.8
1503003004,3.8
1503003005,1.8
1503003006,2.2
1503003007,1.2
1503003009,3.1
1503003010,2.6
1503003011,2.5
1503003012,3.3
1503003013,4.1
1503003014,2.4
1503003015,2.2
1503003016,2.3
1503003017,2.9
1503003018,2.7
1503003020,3.2
1503003021,2.6
1503003022,3
1503003023,3.5
1503004001,3.6
1503004002,2.6
1503004003,4.2
1503004004,5.9
1503004005,5.5
1503004006,6.9
1503004007,3.8
1503004008,4
1503004009,5.1
1503004010,3.6
1503004011,4.2
1503004012,2.9
1503004013,4.3
1503004014,4.5
1503004015,5
1503004018,3.6
1503004019,4.7
1503004020,4.1
1503004021,7
1503004022,5.3
1503004023,3.9
1503004024,3.4
1503004025,3.6
1503004026,5.4
1503004028,4.7
1503004029,4.5
1503005001,2.7
1503005002,2.4
1503005003,2.4
1503005004,1.9
1503005005,2.6
1503005006,2.8
1503005007,2.3
1503005008,4.7
1503005009,3.7
1503005010,4.5
1503005011,9.1
1503005012,4
1503005013,1.9
1503005014,3.1
1503005015,4.1
1503005016,3.6
1503005017,2.9
1503005018,3.2
1503005019,3.1
1503005020,3.2
1503005021,2.6
1503005022,3.3
1503006001,2.3
1503006002,3.3
1503006003,3.7
1503006004,3.9
1503006005,4.2
1503006006,4.1
1503006007,5.3
1503006008,5.1
1503006009,4.8
1503006010,5.6
1503006011,4.2
1503006012,5.2
1503006013,5.1
1503006014,4.8
1503006015,5.3
1503006016,5.3
1503006017,4
1503006018,4.1
1503006019,4.4
1503006020,4
1503006021,4.5
1503006022,5.7
1503006023,4.8
1503007001,4.5
1503007002,3
1503007003,3.7
1503007004,3.1
1503007005,4.3
1503007006,3.2
1503007007,3.4
1503007008,2.8
1503007009,3.2
1503007010,3.8
1503007011,3.6
1503007012,3.3
1503007013,3.7
1503007014,3.7
1503007015,3.2
1503007016,5.1
1503007017,3.6
1503007018,3.1
1503007019,3.3
1503007020,2.2
1503007021,3.9
1503007022,3.7
1503007023,4.1
1503007025,5.2
1503007026,7.1
1503007027,4.2
1503007028,6.4
1503007029,3.6
1503007030,4.4
1503007031,5.4
1503007033,2.2
1503007034,3.2
1503007035,5.3
1503007036,3.3
1503007038,4
1503007039,3.2
1503007040,3.6
1503007041,2.6
1503007042,3.1
1503007043,2.5
1503007044,2.6
1503008001,4.4
1503008002,5.3
1503008003,2.6
1503008004,3.4
1503008005,3.7
1503008006,4.5
1503008007,3.6
1503009001,4.1
1503009002,3
1503009003,3.2
1503009004,3.6
1503009005,3.9
1503009006,3.2
1503009007,2.5
1503010001,4
1503010002,3.7
1503010003,3.2
1503010004,3.6
1503010005,2.6
1503010006,3
