CUSEC,value
1503001001,28.9
1503001002,16
1503001003,18.6
1503001004,20.9
1503001005,19.9
1503001006,13.1
1503001007,16.1
1503001008,15.1
1503001009,20.8
1503001012,21.6
1503002001,15.2
1503002002,10
1503002003,18.8
1503002004,11.7
1503002005,9
1503002006,8.6
1503002007,10.7
1503002008,9.5
1503002009,8.8
1503002010,8.5
1503002011,15.2
1503002012,9.4
1503002013,8.4
1503002014,13.5
1503002015,6.7
1503002016,7.7
1503002017,6.3
1503002018,9.7
1503002019,4.9
1503002020,7.6
1503002021,12.2
1503002022,9.8
1503002023,6.8
1503003001,28.5
1503003002,29.3
1503003003,25.8
1503003004,11.9
1503003005,17.8
1503003006,23.7
1503003007,32.2
1503003009,24.6
1503003010,16.5
1503003011,22
1503003012,9.3
1503003013,12.8
1503003014,12.7
1503003015,25.2
1503003016,20.8
1503003017,12.7
1503003018,11.7
1503003020,13.6
1503003021,14.9
1503003022,12.4
1503003023,17.9
1503004001,12.2
1503004002,17
1503004003,11.5
1503004004,6.5
1503004005,6.9
1503004006,11.4
1503004007,8.4
1503004008,8.7
1503004009,9.2
1503004010,9
1503004011,7.7
1503004012,6.8
1503004013,9.4
1503004014,5.3
1503004015,6.8
1503004018,9.1
1503004019,8.1
1503004020,9.2
1503004021,5.6
1503004022,6.8
1503004023,9.4
1503004024,5.5
1503004025,6.4
1503004026,5.8
1503004028,5.6
1503004029,8.5
1503005001,25
1503005002,25.2
1503005003,39.8
1503005004,17.6
1503005005,25.6
1503005006,11.2
1503005007,10.8
1503005008,7.4
1503005009,11.5
1503005010,6.9
1503005011,6.2
1503005012,7.2
1503005013,22.9
1503005014,16.5
1503005015,7.8
1503005016,10.7
1503005017,7.7
1503005018,7.9
1503005019,10.5
1503005020,9.1
1503005021,8.1
1503005022,8.2
1503006001,13.7
1503006002,10.1
1503006003,9.9
1503006004,7.7
1503006005,10
1503006006,7.9
1503006007,10.2
1503006008,7.1
1503006009,9.9
1503006010,4
1503006011,6.7
1503006012,6.3
1503006013,6.5
1503006014,7.3
1503006015,5.8
1503006016,6.6
1503006017,6.7
1503006018,11.4
1503006019,17.9
1503006020,8.9
1503006021,7.3
1503006022,6.1
1503006023,8.2
1503007001,8.2
1503007002,10.3
1503007003,6
1503007004,8.4
1503007005,6.9
1503007006,12
1503007007,5.4
1503007008,7.6
1503007009,10.8
1503007010,11.9
1503007011,6.8
1503007012,13.3
1503007013,11.9
1503007014,8
1503007015,8.1
1503007016,4.3
1503007017,8.8
1503007018,8.1
1503007019,7.6
1503007020,8.1
1503007021,8
1503007022,8.1
1503007023,5.4
1503007025,5.5
1503007026,5
1503007027,10.3
1503007028,3.6
1503007029,9
1503007030,6.8
1503007031,8.3
1503007033,7.2
1503007034,6.2
1503007035,10
1503007036,8.7
1503007038,6.4
1503007039,9.2
1503007040,6.2
1503007041,8.8
1503007042,9.3
1503007043,10.9
1503007044,11.2
1503008001,6
1503008002,9.2
1503008003,27.5
1503008004,9.8
1503008005,16.9
1503008006,12.2
1503008007,8.6
1503009001,18.3
1503009002,11.9
1503009003,5.8
1503009004,5.1
1503009005,6.4
1503009006,5.2
1503009007,13
1503010001,9.5
1503010002,6.9
1503010003,7.7
1503010004,8.5
1503010005,11.6
1503010006,14.2
