CUSEC,value
1503001001,11.6
1503001002,21.6
1503001003,14.5
1503001004,20.4
1503001005,21
1503001006,20.3
1503001007,30.5
1503001008,26.3
1503001009,16.8
1503001012,13.5
1503002001,22.9
1503002002,25.7
1503002003,23.1
1503002004,23
1503002005,25
1503002006,29.8
1503002007,27.6
1503002008,20.3
1503002009,24.1
1503002010,21.2
1503002011,22.6
1503002012,21.5
1503002013,18.9
1503002014,25.9
1503002015,28.3
1503002016,29.5
1503002017,23.5
1503002018,20.1
1503002019,30.7
1503002020,30.7
1503002021,14.9
1503002022,29.8
1503002023,34.5
1503003001,10.9
1503003002,14.4
1503003003,26.2
1503003004,18.9
1503003005,21.9
1503003006,14.8
1503003007,15.6
1503003009,27.2
1503003010,27.9
1503003011,22.8
1503003012,20.5
1503003013,23.2
1503003014,22.5
1503003015,21.5
1503003016,24.3
1503003017,28.7
1503003018,35.9
1503003020,20.8
1503003021,21.9
1503003022,30.1
1503003023,36.8
1503004001,28.8
1503004002,28.7
1503004003,29
1503004004,26.2
1503004005,37.8
1503004006,29.7
1503004007,28.2
1503004008,32.5
1503004009,30.6
1503004010,29
1503004011,31.3
1503004012,28.7
1503004013,29
1503004014,36.7
1503004015,33.4
1503004018,28.6
1503004019,25.6
1503004020,25.3
1503004021,26.2
1503004022,30.1
1503004023,30.1
1503004024,35.3
1503004025,29.6
1503004026,33
1503004028,38.4
1503004029,37.8
1503005001,23.9
1503005002,24.6
1503005003,18.5
1503005004,18.1
1503005005,19.9
1503005006,23.4
1503005007,25.7
1503005008,32.8
1503005009,24
1503005010,24.4
1503005011,23.8
1503005012,18.4
1503005013,20.4
1503005014,22.6
1503005015,29.7
1503005016,31.7
1503005017,20.2
1503005018,19.9
1503005019,15.8
1503005020,17.4
1503005021,13.2
1503005022,15.8
1503006001,22
1503006002,28.1
1503006003,31
1503006004,34.5
1503006005,37.7
1503006006,26.8
1503006007,33.3
1503006008,25.7
1503006009,33.8
1503006010,30.4
1503006011,27.7
1503006012,34.8
1503006013,30
1503006014,30
1503006015,29.5
1503006016,28.2
1503006017,27.4
1503006018,34.6
1503006019,29.1
1503006020,34.5
1503006021,32.6
1503006022,29
1503006023,34.2
1503007001,28.4
1503007002,28.7
1503007003,21.4
1503007004,34.5
1503007005,27.2
1503007006,26.4
1503007007,22.2
1503007008,19.4
1503007009,27.8
1503007010,25
1503007011,26.8
1503007012,27.8
1503007013,30.7
1503007014,31.7
1503007015,30.4
1503007016,33.3
1503007017,44.6
1503007018,44.1
1503007019,36.7
1503007020,21.6
1503007021,31.2
1503007022,29.7
1503007023,32.2
1503007025,33.3
1503007026,32.1
1503007027,36.3
1503007028,39.6
1503007029,46.2
1503007030,36.1
1503007031,23.1
1503007033,38.1
1503007034,47.3
1503007035,28
1503007036,13
1503007038,31.3
1503007039,22.8
1503007040,29.9
1503007041,22.6
1503007042,22.3
1503007043,16.1
1503007044,12.2
1503008001,24.7
1503008002,18
1503008003,15.3
1503008004,11.2
1503008005,21.1
1503008006,25.1
1503008007,13.4
1503009001,20.1
1503009002,17.8
1503009003,5.1
1503009004,6.6
1503009005,4.6
1503009006,5.9
1503009007,7
1503010001,28.1
1503010002,34.7
1503010003,37.1
1503010004,29.7
1503010005,11
1503010006,18.2
