CUSEC,value
1503001001,57.2
1503001002,58.9
1503001003,62.9
1503001004,55.3
1503001005,55.9
1503001006,62.5
1503001007,50.1
1503001008,54.1
1503001009,59.6
1503001012,62.6
1503002001,58.2
1503002002,60.6
1503002003,55.3
1503002004,60.4
1503002005,60.5
1503002006,56.5
1503002007,56.5
1503002008,64.8
1503002009,62.4
1503002010,65.8
1503002011,58.6
1503002012,64.1
1503002013,68.1
1503002014,55.9
1503002015,59
1503002016,56.6
1503002017,63.2
1503002018,64.7
1503002019,58.2
1503002020,57.7
1503002021,68.9
1503002022,56.4
1503002023,54.3
1503003001,59.3
1503003002,54.2
1503003003,44.8
1503003004,64.4
1503003005,58.1
1503003006,59
1503003007,50.6
1503003009,44.7
1503003010,52.2
1503003011,52.1
1503003012,65.9
1503003013,58.9
1503003014,61.6
1503003015,50.6
1503003016,52.1
1503003017,54.7
1503003018,48.7
1503003020,61.5
1503003021,60
1503003022,53.3
1503003023,41.2
1503004001,54.1
1503004002,51
1503004003,53.2
1503004004,58.8
1503004005,47.9
1503004006,50.4
1503004007,58.6
1503004008,53.3
1503004009,53.6
1503004010,56.9
1503004011,54.9
1503004012,59.6
1503004013,55.8
1503004014,51.6
1503004015,53.2
1503004018,56.7
1503004019,58.5
1503004020,59.5
1503004021,58.3
1503004022,56
1503004023,55
1503004024,54.5
1503004025,58.5
1503004026,53.6
1503004028,49.3
1503004029,47.8
1503005001,48
1503005002,47.2
1503005003,39
1503005004,61.9
1503005005,51.2
1503005006,61.6
1503005007,60.1
1503005008,52.9
1503005009,59.7
1503005010,61.8
1503005011,58.7
1503005012,68.6
1503005013,54.2
1503005014,57.1
1503005015,57.1
1503005016,52.8
1503005017,68.1
1503005018,67.3
1503005019,69.6
1503005020,69
1503005021,75.4
1503005022,71.5
1503006001,61.3
1503006002,56.8
1503006003,53.5
1503006004,52.4
1503006005,46.5
1503006006,59.4
1503006007,49.4
1503006008,60.6
1503006009,49.5
1503006010,56.9
1503006011,59
1503006012,52
1503006013,56.4
1503006014,55.7
1503006015,56.4
1503006016,58
1503006017,60.1
1503006018,48.6
1503006019,47.1
1503006020,50.7
1503006021,54.1
1503006022,57
1503006023,51.1
1503007001,57.2
1503007002,57
1503007003,67.1
1503007004,52.9
1503007005,60.2
1503007006,57.2
1503007007,67.5
1503007008,68.7
1503007009,57.2
1503007010,58.1
1503007011,61.4
1503007012,54.6
1503007013,52.6
1503007014,55.1
1503007015,57.4
1503007016,55.6
1503007017,41.8
1503007018,43.5
1503007019,51.4
1503007020,67.3
1503007021,55.6
1503007022,57.4
1503007023,56.2
1503007025,54.8
1503007026,53.9
1503007027,47.6
1503007028,48.8
1503007029,40.6
1503007030,51.3
1503007031,61.4
1503007033,51.3
1503007034,42.2
1503007035,55.5
1503007036,73.3
1503007038,57
1503007039,63.2
1503007040,59.1
1503007041,64.5
1503007042,64.7
1503007043,69.6
1503007044,73.1
1503008001,63.2
1503008002,66.1
1503008003,53.8
1503008004,74.6
1503008005,56.9
1503008006,57
1503008007,72.7
1503009001,55.7
1503009002,65.9
1503009003,84.6
1503009004,82.6
1503009005,83.8
1503009006,84.4
1503009007,76.7
1503010001,56.1
1503010002,53.3
1503010003,50.3
1503010004,56.9
1503010005,74.1
1503010006,64.1
