CUSEC,value
1503001001,0.6
1503001002,0.8
1503001003,0.9
1503001004,0.8
1503001005,0.7
1503001006,0.9
1503001007,0.9
1503001008,1
1503001009,0.9
1503001012,0.5
1503002001,1
1503002002,1.2
1503002003,0.5
1503002004,1.3
1503002005,1.2
1503002006,1.7
1503002007,1.1
1503002008,1.2
1503002009,1.3
1503002010,1.3
1503002011,1
1503002012,1.7
1503002013,1.6
1503002014,1.4
1503002015,2.1
1503002016,2.5
1503002017,1.9
1503002018,2
1503002019,2.3
1503002020,1.5
1503002021,1.1
1503002022,1.4
1503002023,0.9
1503003001,0.2
1503003002,0.3
1503003003,0.4
1503003004,1
1503003005,0.3
1503003006,0.3
1503003007,0.3
1503003009,0.5
1503003010,0.8
1503003011,0.6
1503003012,1
1503003013,1
1503003014,0.9
1503003015,0.5
1503003016,0.6
1503003017,1.1
1503003018,0.9
1503003020,0.9
1503003021,0.6
1503003022,1.2
1503003023,0.6
1503004001,1.3
1503004002,0.7
1503004003,2.1
1503004004,2.6
1503004005,2
1503004006,1.7
1503004007,1
1503004008,1.5
1503004009,1.5
1503004010,1.6
1503004011,1.8
1503004012,1.9
1503004013,1.5
1503004014,2
1503004015,1.7
1503004018,2
1503004019,3.2
1503004020,2
1503004021,2.8
1503004022,1.8
1503004023,1.7
1503004024,1.3
1503004025,2
1503004026,2.3
1503004028,2
1503004029,1.4
1503005001,0.4
1503005002,0.6
1503005003,0.3
1503005004,0.5
1503005005,0.7
1503005006,1.1
1503005007,1.1
1503005008,2.1
1503005009,1.1
1503005010,2.3
1503005011,2.2
1503005012,2
1503005013,0.6
1503005014,0.7
1503005015,1.3
1503005016,1.1
1503005017,1.1
1503005018,1.6
1503005019,1
1503005020,1.4
1503005021,0.8
1503005022,1.2
1503006001,0.6
1503006002,1.7
1503006003,2
1503006004,1.5
1503006005,1.6
1503006006,1.8
1503006007,1.8
1503006008,1.5
1503006009,2
1503006010,3
1503006011,2.4
1503006012,1.8
1503006013,2
1503006014,2.2
1503006015,2.9
1503006016,2
1503006017,1.7
1503006018,1.3
1503006019,1.6
1503006020,1.9
1503006021,1.5
1503006022,2.3
1503006023,1.7
1503007001,1.7
1503007002,1.1
1503007003,1.9
1503007004,1.1
1503007005,1.3
1503007006,1.2
1503007007,1.6
1503007008,1.5
1503007009,1.1
1503007010,1.2
1503007011,1.3
1503007012,1.1
1503007013,1.2
1503007014,1.6
1503007015,0.9
1503007016,1.7
1503007017,1.2
1503007018,1.3
1503007019,1.1
1503007020,0.8
1503007021,1.4
1503007022,1
1503007023,2.1
1503007025,1.2
1503007026,1.8
1503007027,1.7
1503007028,1.7
1503007029,0.6
1503007030,1.3
1503007031,1.8
1503007033,1.2
1503007034,1
1503007035,1.2
1503007036,1.6
1503007038,1.3
1503007039,1.7
1503007040,1.2
1503007041,1.5
1503007042,0.7
1503007043,0.9
1503007044,1
1503008001,1.8
1503008002,1.4
1503008003,0.8
1503008004,1
1503008005,1.4
1503008006,1.3
1503008007,1.7
1503009001,1.8
1503009002,1.5
1503009003,1.4
1503009004,2.1
1503009005,1.3
1503009006,1.3
1503009007,0.8
1503010001,2.2
1503010002,1.4
1503010003,1.7
1503010004,1.4
1503010005,0.8
1503010006,0.5
