CUSEC,value
1503001001,3.5
1503001002,3
1503001003,3.1
1503001004,3.1
1503001005,2.5
1503001006,2.6
1503001007,2.9
1503001008,2.6
1503001009,3.2
1503001012,3.2
1503002001,2.9
1503002002,2.8
1503002003,2.4
1503002004,2.9
1503002005,2.4
1503002006,2.6
1503002007,2.5
1503002008,2.9
1503002009,2.5
1503002010,2.6
1503002011,2.8
1503002012,2.5
1503002013,2.9
1503002014,2.7
1503002015,2.4
1503002016,2.3
1503002017,2.2
1503002018,2.7
1503002019,2.5
1503002020,2.4
1503002021,2.6
1503002022,2.3
1503002023,2.3
1503003001,3.4
1503003002,3.1
1503003003,2.3
1503003004,2.7
1503003005,2.3
1503003006,3.2
1503003007,2.8
1503003009,2.3
1503003010,3
1503003011,2.7
1503003012,3
1503003013,2.7
1503003014,2.5
1503003015,2.9
1503003016,2.6
1503003017,2.8
1503003018,2.4
1503003020,2.9
1503003021,3.3
1503003022,2.7
1503003023,2.5
1503004001,2.8
1503004002,2.7
1503004003,3.1
1503004004,3.2
1503004005,2.9
1503004006,3.6
1503004007,2.6
1503004008,2.7
1503004009,3
1503004010,2.9
1503004011,2.7
1503004012,2.7
1503004013,2.7
1503004014,2.4
1503004015,2.3
1503004018,2.8
1503004019,3
1503004020,2.9
1503004021,2.7
1503004022,2.4
1503004023,2.5
1503004024,2.6
1503004025,2.7
1503004026,2.7
1503004028,2.3
1503004029,2.4
1503005001,2.6
1503005002,2.6
1503005003,2.8
1503005004,2.6
1503005005,3.2
1503005006,2.7
1503005007,2.6
1503005008,2.9
1503005009,2.8
1503005010,2.8
1503005011,3.3
1503005012,2.1
1503005013,2.9
1503005014,2.8
1503005015,2.6
1503005016,2.9
1503005017,2.4
1503005018,2
1503005019,2.2
1503005020,2.2
1503005021,2.3
1503005022,2.1
1503006001,3.3
1503006002,2.6
1503006003,2.6
1503006004,2.4
1503006005,2.6
1503006006,2.9
1503006007,2.6
1503006008,2.6
1503006009,2.7
1503006010,2.6
1503006011,2.3
1503006012,2.6
1503006013,2.6
1503006014,2.7
1503006015,2.5
1503006016,2.6
1503006017,2.7
1503006018,2.7
1503006019,2.9
1503006020,2.8
1503006021,2.6
1503006022,2.3
1503006023,2.7
1503007001,2.8
1503007002,2.4
1503007003,2.6
1503007004,2.4
1503007005,2.7
1503007006,2.7
1503007007,2.4
1503007008,2.3
1503007009,2.8
1503007010,3.2
1503007011,2.7
1503007012,2.8
1503007013,2.8
1503007014,2.6
1503007015,2.2
1503007016,2.2
1503007017,2.3
1503007018,2.3
1503007019,2.3
1503007020,2.2
1503007021,2.3
1503007022,2.3
1503007023,2.2
1503007025,2.5
1503007026,2.2
1503007027,2.5
1503007028,2.1
1503007029,2.5
1503007030,2.4
1503007031,2.7
1503007033,2
1503007034,2
1503007035,2.7
1503007036,2.4
1503007038,2.2
1503007039,2.2
1503007040,2.2
1503007041,2.2
1503007042,2.5
1503007043,2.3
1503007044,2.2
1503008001,2.3
1503008002,2.9
1503008003,2.6
1503008004,2.4
1503008005,2.9
1503008006,2.7
1503008007,2.4
1503009001,2.4
1503009002,2.5
1503009003,1.9
1503009004,2.1
1503009005,2
1503009006,2
1503009007,2.4
1503010001,2.7
1503010002,2.4
1503010003,2.2
1503010004,2.4
1503010005,2.2
1503010006,2.2
