CUSEC,value
1503001001,24.8
1503001002,28
1503001003,20.1
1503001004,25.9
1503001005,27.1
1503001006,27.2
1503001007,33.8
1503001008,28.3
1503001009,21.2
1503001012,26.9
1503002001,26.2
1503002002,27.4
1503002003,28.4
1503002004,24.7
1503002005,26.7
1503002006,28.7
1503002007,28.1
1503002008,21.1
1503002009,23.2
1503002010,21.9
1503002011,26.7
1503002012,23.9
1503002013,19.7
1503002014,27.9
1503002015,27.2
1503002016,27.7
1503002017,22.6
1503002018,20.2
1503002019,26.8
1503002020,31.7
1503002021,18.6
1503002022,29.9
1503002023,36.6
1503003001,32.6
1503003002,28.8
1503003003,35.1
1503003004,22.5
1503003005,28.6
1503003006,26.4
1503003007,33.2
1503003009,36.9
1503003010,26.5
1503003011,27.7
1503003012,19.7
1503003013,24.2
1503003014,23.2
1503003015,31.2
1503003016,32.3
1503003017,32.7
1503003018,38.7
1503003020,23.5
1503003021,25.6
1503003022,32.6
1503003023,37.8
1503004001,28.1
1503004002,33.4
1503004003,25.9
1503004004,20.6
1503004005,34.1
1503004006,25.4
1503004007,29
1503004008,28.9
1503004009,26.8
1503004010,25.9
1503004011,27.3
1503004012,26.9
1503004013,28
1503004014,35.5
1503004015,30.6
1503004018,24.2
1503004019,23.1
1503004020,22.8
1503004021,19.6
1503004022,26.1
1503004023,29.5
1503004024,31.5
1503004025,26.4
1503004026,25.7
1503004028,33.7
1503004029,34.2
1503005001,31.1
1503005002,36.5
1503005003,28
1503005004,23.5
1503005005,28.1
1503005006,27.7
1503005007,29.8
1503005008,27.9
1503005009,26.4
1503005010,23.7
1503005011,20.4
1503005012,16.4
1503005013,28.8
1503005014,26.4
1503005015,28
1503005016,30.5
1503005017,20.6
1503005018,16.9
1503005019,14.9
1503005020,18.3
1503005021,12.9
1503005022,14.7
1503006001,29.6
1503006002,24.9
1503006003,28.4
1503006004,29.9
1503006005,34.1
1503006006,23.6
1503006007,30.7
1503006008,23.3
1503006009,32.5
1503006010,23.7
1503006011,24.3
1503006012,29.6
1503006013,27
1503006014,26.6
1503006015,25.7
1503006016,22.4
1503006017,24.8
1503006018,31
1503006019,27.1
1503006020,30.5
1503006021,29.4
1503006022,25.1
1503006023,31.9
1503007001,26.5
1503007002,29.2
1503007003,20.6
1503007004,32.5
1503007005,25.8
1503007006,26.9
1503007007,22.6
1503007008,18.7
1503007009,27.7
1503007010,27.5
1503007011,25.2
1503007012,27.9
1503007013,33.5
1503007014,29.5
1503007015,28.8
1503007016,33.4
1503007017,43.6
1503007018,39.5
1503007019,37.1
1503007020,24.6
1503007021,31.4
1503007022,30.3
1503007023,27.2
1503007025,31.6
1503007026,26.9
1503007027,32
1503007028,38.3
1503007029,41.1
1503007030,34.6
1503007031,21.3
1503007033,34.1
1503007034,43.1
1503007035,26.8
1503007036,14.5
1503007038,27.9
1503007039,21.9
1503007040,28.1
1503007041,21.9
1503007042,24.7
1503007043,17.4
1503007044,11.6
1503008001,24.9
1503008002,19.3
1503008003,21
1503008004,10.8
1503008005,23.4
1503008006,23.4
1503008007,11.9
1503009001,24.5
1503009002,18.7
1503009003,5.2
1503009004,6.6
1503009005,3.5
1503009006,4.6
1503009007,7.3
1503010001,24.2
1503010002,33.5
1503010003,34.8
1503010004,29.6
1503010005,13.2
1503010006,23.2
