CUSEC,value
1503001001,10.7
1503001002,13
1503001003,13.8
1503001004,11.7
1503001005,12.9
1503001006,14.9
1503001007,9.6
1503001008,10.6
1503001009,15
1503001012,12.1
1503002001,14.7
1503002002,12
1503002003,17.3
1503002004,12.7
1503002005,13.1
1503002006,12.2
1503002007,14.8
1503002008,16
1503002009,13.5
1503002010,13.6
1503002011,10.7
1503002012,12.7
1503002013,15
1503002014,10.9
1503002015,12.1
1503002016,12.2
1503002017,13.8
1503002018,14.6
1503002019,12.9
1503002020,13.2
1503002021,17.1
1503002022,9.4
1503002023,9
1503003001,11
1503003002,13.4
1503003003,14.8
1503003004,14
1503003005,17.6
1503003006,15.4
1503003007,15
1503003009,13.1
1503003010,14.7
1503003011,14.2
1503003012,12.8
1503003013,13.5
1503003014,14.8
1503003015,14.9
1503003016,12.5
1503003017,11.8
1503003018,10.8
1503003020,15.3
1503003021,14.6
1503003022,10.2
1503003023,13
1503004001,12.3
1503004002,12.3
1503004003,10.3
1503004004,13.4
1503004005,10.4
1503004006,14.1
1503004007,12.5
1503004008,11.3
1503004009,11.2
1503004010,13.8
1503004011,12.9
1503004012,12.5
1503004013,12.9
1503004014,8.3
1503004015,11.2
1503004018,12.3
1503004019,13.7
1503004020,11.1
1503004021,11
1503004022,11.9
1503004023,10.2
1503004024,11
1503004025,11.8
1503004026,13.6
1503004028,10.3
1503004029,9.2
1503005001,14.3
1503005002,13.3
1503005003,16.4
1503005004,18.2
1503005005,12.3
1503005006,15.2
1503005007,11.8
1503005008,12.9
1503005009,14
1503005010,10.7
1503005011,17.1
1503005012,15.4
1503005013,17.1
1503005014,14.7
1503005015,14
1503005016,11.2
1503005017,14.4
1503005018,13.6
1503005019,15.6
1503005020,13.4
1503005021,17.7
1503005022,16.4
1503006001,13.1
1503006002,12.3
1503006003,10.6
1503006004,11.5
1503006005,12.7
1503006006,13.5
1503006007,12.4
1503006008,13.1
1503006009,12
1503006010,12.1
1503006011,14
1503006012,15
1503006013,11.8
1503006014,12.3
1503006015,11.8
1503006016,12.7
1503006017,12.7
1503006018,11.6
1503006019,12.6
1503006020,13.9
1503006021,13.7
1503006022,12.3
1503006023,10.5
1503007001,11.8
1503007002,12.3
1503007003,12.3
1503007004,14.2
1503007005,14.5
1503007006,13.5
1503007007,12.9
1503007008,15.2
1503007009,12.1
1503007010,13.4
1503007011,12.5
1503007012,11.7
1503007013,12
1503007014,10.6
1503007015,13.1
1503007016,12.2
1503007017,10.3
1503007018,11.1
1503007019,9.6
1503007020,14.8
1503007021,13.9
1503007022,11.3
1503007023,13.4
1503007025,11.2
1503007026,12
1503007027,10.1
1503007028,9.1
1503007029,13
1503007030,12.6
1503007031,15.6
1503007033,10.5
1503007034,8.4
1503007035,13.4
1503007036,14.8
1503007038,14.7
1503007039,14
1503007040,14.3
1503007041,12.7
1503007042,13.5
1503007043,14.8
1503007044,21.2
1503008001,15.3
1503008002,17.3
1503008003,14.8
1503008004,18.6
1503008005,12.5
1503008006,14.4
1503008007,16
1503009001,10
1503009002,18.5
1503009003,30.6
1503009004,24.6
1503009005,32
1503009006,30.1
1503009007,25.4
1503010001,14.1
1503010002,11.6
1503010003,9.5
1503010004,11.9
1503010005,20.9
1503010006,15.2
