CUSEC,value
1503001001,6.3
1503001002,6.2
1503001003,5.7
1503001004,6.6
1503001005,4.9
1503001006,3.3
1503001007,7.3
1503001008,5.4
1503001009,7.9
1503001012,5
1503002001,8.8
1503002002,7.6
1503002003,3.4
1503002004,11.1
1503002005,7.9
1503002006,8.6
1503002007,6.2
1503002008,10.2
1503002009,7.6
1503002010,8.4
1503002011,8.4
1503002012,5.8
1503002013,7.8
1503002014,7.6
1503002015,8.4
1503002016,10
1503002017,8.5
1503002018,10.1
1503002019,10.6
1503002020,6.4
1503002021,5.4
1503002022,3
1503002023,7
1503003001,3.6
1503003002,5.5
1503003003,4.4
1503003004,5.1
1503003005,2.9
1503003006,4
1503003007,2.9
1503003009,2
1503003010,6.7
1503003011,5.5
1503003012,5.6
1503003013,6.1
1503003014,5.6
1503003015,3.4
1503003016,3.9
1503003017,6.4
1503003018,4.5
1503003020,6.1
1503003021,5.3
1503003022,9
1503003023,4.5
1503004001,7.3
1503004002,5.4
1503004003,15.5
1503004004,21.2
1503004005,12.7
1503004006,17.2
1503004007,5.9
1503004008,8.7
1503004009,13.8
1503004010,13.7
1503004011,14.1
1503004012,10.8
1503004013,11.1
1503004014,9.6
1503004015,12.7
1503004018,14.1
1503004019,20.3
1503004020,18.3
1503004021,19
1503004022,14.7
1503004023,7.8
1503004024,9.2
1503004025,15.5
1503004026,13.8
1503004028,10.3
1503004029,9.1
1503005001,2.9
1503005002,3.6
1503005003,3.3
1503005004,4
1503005005,9.2
1503005006,5.4
1503005007,4.5
1503005008,11.4
1503005009,6.8
1503005010,12.1
1503005011,21.3
1503005012,6.4
1503005013,6.6
1503005014,5.6
1503005015,7.4
1503005016,9.6
1503005017,5.3
1503005018,4.2
1503005019,3.7
1503005020,5.4
1503005021,4.4
1503005022,3.1
1503006001,7.7
1503006002,13.4
1503006003,10.4
1503006004,12.6
1503006005,8.6
1503006006,14.3
1503006007,12.5
1503006008,12
1503006009,12.9
1503006010,17.6
1503006011,14.2
1503006012,13.2
1503006013,14.9
1503006014,16.9
1503006015,13.9
1503006016,14.6
1503006017,10.6
1503006018,9.3
1503006019,15.6
1503006020,15.5
1503006021,11.9
1503006022,15.2
1503006023,9.5
1503007001,10.3
1503007002,5.5
1503007003,10.8
1503007004,8.3
1503007005,6.2
1503007006,7.9
1503007007,5.3
1503007008,6.5
1503007009,8.1
1503007010,10.4
1503007011,10.8
1503007012,8.7
1503007013,7.6
1503007014,9.5
1503007015,7.1
1503007016,6.8
1503007017,4.5
1503007018,4.7
1503007019,5.4
1503007020,3.8
1503007021,9.2
1503007022,5.8
1503007023,11
1503007025,7.9
1503007026,9.7
1503007027,8
1503007028,8.3
1503007029,7.8
1503007030,9.8
1503007031,11.1
1503007033,2.8
1503007034,4.4
1503007035,9
1503007036,5.7
1503007038,6.4
1503007039,5.8
1503007040,7.9
1503007041,5.4
1503007042,4
1503007043,3.6
1503007044,4.2
1503008001,9.3
1503008002,11.5
1503008003,4.5
1503008004,5.5
1503008005,11.3
1503008006,9.1
1503008007,7.8
1503009001,7.6
1503009002,7.3
1503009003,3.4
1503009004,7.3
1503009005,4.2
1503009006,3.2
1503009007,3
1503010001,9.4
1503010002,7.9
1503010003,5.8
1503010004,7.8
1503010005,4.2
1503010006,2.8
