CUSEC,value
1503001001,13.8
1503001002,16.5
1503001003,15.8
1503001004,13.8
1503001005,9.9
1503001006,11.8
1503001007,15.3
1503001008,10.8
1503001009,15.4
1503001012,11.3
1503002001,16.5
1503002002,19.5
1503002003,6.8
1503002004,21.6
1503002005,17.5
1503002006,20.2
1503002007,14
1503002008,18.4
1503002009,18
1503002010,20.1
1503002011,16.2
1503002012,16.7
1503002013,20.3
1503002014,16.6
1503002015,22.3
1503002016,23.4
1503002017,18.5
1503002018,23.4
1503002019,25.8
1503002020,18.4
1503002021,10.2
1503002022,8.4
1503002023,14.3
1503003001,6.5
1503003002,9.1
1503003003,6.7
1503003004,12.8
1503003005,5.9
1503003006,9.3
1503003007,7.1
1503003009,6.4
1503003010,14.3
1503003011,13.5
1503003012,23.6
1503003013,18.1
1503003014,11.4
1503003015,6.8
1503003016,7.6
1503003017,12.1
1503003018,11.4
1503003020,11.6
1503003021,14.5
1503003022,17
1503003023,9.5
1503004001,19.2
1503004002,12.4
1503004003,33.1
1503004004,36.9
1503004005,28.2
1503004006,34.2
1503004007,15.6
1503004008,19.4
1503004009,28.8
1503004010,26.9
1503004011,28.7
1503004012,26.1
1503004013,22.8
1503004014,21.9
1503004015,27.8
1503004018,34.6
1503004019,39.4
1503004020,32.8
1503004021,37
1503004022,31.8
1503004023,20.6
1503004024,22.3
1503004025,29.8
1503004026,33.2
1503004028,23.3
1503004029,21.9
1503005001,7.6
1503005002,8
1503005003,8.2
1503005004,6.6
1503005005,16.5
1503005006,12.5
1503005007,12.8
1503005008,26
1503005009,15
1503005010,29.4
1503005011,38.6
1503005012,15.6
1503005013,9.5
1503005014,12.9
1503005015,19.4
1503005016,21.5
1503005017,10.8
1503005018,11.3
1503005019,9.2
1503005020,11.3
1503005021,11.7
1503005022,8.8
1503006001,18.2
1503006002,27.8
1503006003,25
1503006004,24.2
1503006005,22.8
1503006006,27.3
1503006007,23
1503006008,24
1503006009,26.9
1503006010,38.5
1503006011,31.8
1503006012,28.9
1503006013,33.9
1503006014,31.2
1503006015,28.8
1503006016,32.1
1503006017,27.2
1503006018,28.8
1503006019,32.2
1503006020,32.7
1503006021,31.2
1503006022,31.9
1503006023,26
1503007001,25.6
1503007002,15.4
1503007003,23.2
1503007004,15.5
1503007005,19.9
1503007006,17.6
1503007007,17.5
1503007008,17.9
1503007009,17.8
1503007010,19.6
1503007011,21.9
1503007012,17
1503007013,17.7
1503007014,20.9
1503007015,13.9
1503007016,19.9
1503007017,17
1503007018,12.9
1503007019,12
1503007020,9
1503007021,20.5
1503007022,14.9
1503007023,25.9
1503007025,20.6
1503007026,25
1503007027,21.9
1503007028,21.9
1503007029,14.1
1503007030,20.4
1503007031,25.6
1503007033,7.3
1503007034,10.2
1503007035,20
1503007036,15.8
1503007038,18.2
1503007039,15.3
1503007040,17
1503007041,12.2
1503007042,9.4
1503007043,7
1503007044,10.8
1503008001,22.3
1503008002,21.4
1503008003,11.5
1503008004,12.1
1503008005,25.1
1503008006,19.1
1503008007,16.4
1503009001,20.9
1503009002,15.9
1503009003,10.6
1503009004,17.4
1503009005,11
1503009006,10.1
1503009007,6.3
1503010001,25.3
1503010002,16.8
1503010003,13.9
1503010004,17.2
1503010005,9.4
1503010006,7
